date,country,Tor Relay,Tor Bridges,Total Users Estimated,frac
1/1/13,iq,392,3,395,59
1/2/13,iq,440,2,442,58
1/3/13,iq,432,4,436,60
1/4/13,iq,448,6,454,58
1/5/13,iq,445,6,451,60
1/6/13,iq,452,6,458,57
1/7/13,iq,438,8,446,58
1/8/13,iq,417,5,422,60
1/9/13,iq,406,3,409,60
1/10/13,iq,404,5,409,59
1/11/13,iq,397,6,403,58
1/12/13,iq,379,6,385,59
1/13/13,iq,377,3,380,60
1/14/13,iq,389,3,392,58
1/15/13,iq,387,6,393,57
1/16/13,iq,371,7,378,59
1/17/13,iq,398,7,405,50
1/18/13,iq,370,6,376,54
1/19/13,iq,371,6,377,47
1/20/13,iq,371,3,374,48
1/21/13,iq,404,2,406,47
1/22/13,iq,415,4,419,47
1/23/13,iq,422,4,426,46
1/24/13,iq,408,5,413,55
1/25/13,iq,449,2,451,55
1/26/13,iq,375,2,377,57
1/27/13,iq,415,2,417,55
1/28/13,iq,411,5,416,53
1/29/13,iq,404,6,410,57
1/30/13,iq,399,9,408,53
1/31/13,iq,392,8,400,54
2/1/13,iq,416,3,419,54
2/2/13,iq,411,7,418,52
2/3/13,iq,343,11,354,68
2/4/13,iq,276,12,288,85
2/5/13,iq,301,9,310,75
2/6/13,iq,382,9,391,56
2/7/13,iq,381,5,386,63
2/8/13,iq,398,3,401,61
2/9/13,iq,384,3,387,63
2/10/13,iq,416,5,421,63
2/11/13,iq,402,5,407,61
2/12/13,iq,396,6,402,64
2/13/13,iq,408,8,416,63
2/14/13,iq,419,6,425,61
2/15/13,iq,399,7,406,63
2/16/13,iq,365,7,372,66
2/17/13,iq,385,6,391,67
2/18/13,iq,372,5,377,66
2/19/13,iq,383,9,392,58
2/20/13,iq,378,6,384,62
2/21/13,iq,358,6,364,63
2/22/13,iq,370,6,376,61
2/23/13,iq,366,5,371,60
2/24/13,iq,364,7,371,56
2/25/13,iq,378,5,383,58
2/26/13,iq,368,7,375,57
2/27/13,iq,396,8,404,55
2/28/13,iq,412,11,423,56
3/1/13,iq,436,12,448,57
3/2/13,iq,443,9,452,58
3/3/13,iq,431,4,435,58
3/4/13,iq,419,2,421,61
3/5/13,iq,461,4,465,58
3/6/13,iq,472,5,477,55
3/7/13,iq,443,8,451,54
3/8/13,iq,432,12,444,57
3/9/13,iq,406,24,430,63
3/10/13,iq,410,15,425,57
3/11/13,iq,407,8,415,56
3/12/13,iq,381,6,387,54
3/13/13,iq,369,2,371,63
3/14/13,iq,416,1,417,60
3/15/13,iq,470,2,472,58
3/16/13,iq,539,4,543,56
3/17/13,iq,577,4,581,54
3/18/13,iq,558,3,561,56
3/19/13,iq,566,2,568,57
3/20/13,iq,601,7,608,57
3/21/13,iq,612,13,625,57
3/22/13,iq,631,11,642,55
3/23/13,iq,623,11,634,55
3/24/13,iq,624,14,638,55
3/25/13,iq,595,9,604,56
3/26/13,iq,569,5,574,57
3/27/13,iq,551,11,562,57
3/28/13,iq,544,11,555,56
3/29/13,iq,568,9,577,54
3/30/13,iq,589,5,594,54
3/31/13,iq,592,8,600,54
4/1/13,iq,580,7,587,52
4/2/13,iq,570,9,579,53
4/3/13,iq,547,10,557,56
4/4/13,iq,545,14,559,55
4/5/13,iq,537,17,554,54
4/6/13,iq,537,12,549,53
4/7/13,iq,536,8,544,54
4/8/13,iq,514,11,525,54
4/9/13,iq,471,7,478,59
4/10/13,iq,499,7,506,58
4/11/13,iq,510,9,519,57
4/12/13,iq,501,4,505,59
4/13/13,iq,472,3,475,61
4/14/13,iq,486,5,491,60
4/15/13,iq,489,5,494,58
4/16/13,iq,493,5,498,61
4/17/13,iq,479,3,482,62
4/18/13,iq,480,2,482,62
4/19/13,iq,497,2,499,61
4/20/13,iq,497,3,500,62
4/21/13,iq,473,2,475,63
4/22/13,iq,449,7,456,63
4/23/13,iq,459,9,468,64
4/24/13,iq,462,12,474,65
4/25/13,iq,459,7,466,64
4/26/13,iq,464,8,472,64
4/27/13,iq,506,13,519,58
4/28/13,iq,488,10,498,58
